# Mass (g),T1(s),T2(s),T3(s),T4(s),T5(s),T6(s),T7(s),T8(s),T9(s),T10(s)
55,0.496,0.532,0.475,0.527,0.426,0.545,0.538,0.541,0.445,0.432
105,0.645,0.625,0.662,0.657,0.612,0.675,0.604,0.685,0.626,0.669
155,0.761,0.772,0.752,0.793,0.798,0.697,0.789,0.765,0.799,0.688
205,0.867,0.902,0.896,0.921,0.8,0.912,0.845,0.821,0.814,0.9
255,0.957,1.001,0.901,0.978,0.958,0.909,0.903,1.001,0.978,0.989
305,1.037,1.011,1.02,1.009,1.07,1.078,1.028,1.048,1.067,1.01
355,1.113,1.1,1.095,1.099,1.112,1.156,1.134,1.137,1.098,1.102
405,1.194,1.209,1.189,1.199,1.198,1.208,1.201,1.171,1.182,1.188
455,1.325,1.215,1.291,1.262,1.223,1.287,1.215,1.213,1.298,1.215
505,1.321,1.307,1.394,1.309,1.319,1.312,1.311,1.311,1.319,1.315
